Index,ABUSIVE
0,alay
1,ampas
2,buta
3,keparat
4,anjing
5,anjir
6,babi
7,bacot
8,bajingan
9,banci
10,bandot
11,buaya
12,bangkai
13,bangsat
14,bego
15,bejat
16,bencong
17,berak
18,bisu
19,celeng
20,jancuk
21,bodoh
22,berengsek
23,budek
24,burik
25,jamban
26,cocot
27,congor
28,culun
29,cupu
30,dongok
31,dungu
32,edan
33,tai
34,ngewe
35,geblek
36,gembel
37,gila
38,goblok
39,iblis
40,idiot
41,jablay
42,jembud
43,jembut
44,jijik
45,kacrut
46,kafir
47,modar
48,kampang
49,kampret
50,kampungan
51,kimak
52,kontol
53,kunti
54,tuyul
55,kunyuk
56,mampus
57,memek
58,monyet
59,najis
60,nete
61,ngentot
62,noob
63,pecun
64,perek
65,sampah
66,sarap
67,setan
68,silit
69,bokong
70,sinting
71,sompret
72,sontoloyo
73,terkutuk
74,titit
75,pantat
76,tolol
77,udik
78,antek
79,asing
80,ateis
81,sitip
82,autis
83,picek
84,ayam kampus
85,bani kotak
86,bispak
87,bisyar
88,bokep
89,bong
90,cacat
91,cct
92,cebong
93,taplak
94,cungkring
95,gay
96,gembrot
97,gendut
98,hina
99,homo
100,komunis
101,koreng
102,krempeng
103,lengser
104,lesbi
105,lgbt
106,lonte
107,mucikari
108,munafik
109,ngaceng
110,nista
111,kejam
112,onta
113,panastak
114,panasbung
115,bani
116,pasukan nasi
117,porno
118,seks
119,rejim
120,rezim
121,sange
122,serbet
123,sipit
124,transgender
